#n over r	8			12			16			20			24			28		
#p1	r	exp	pred	r	exp	pred	r	exp	pred	r	exp	pred	r	exp	pred	r	exp	pred
1000000	0.24979772	37	39.96033459	0.16650218	66	86.45900903	0.12508373	101	145.8913217	0.09982926	144	216.8053367	0.08323409	184	298.2015037	0.07133378	233	389.332764
1000	0.2501463	37	39.90464968	0.16695745	65	86.22324721	0.12513733	101	145.8288321	0.10037621	143	215.6239643	0.08362904	180	296.7932048	0.07195155	233	385.9899854
100	0.25234458	37	39.55702346	0.16988291	65	84.73844417	0.1281448	100	142.4063301	0.10307979	135	209.9685721	0.08647183	178	287.0360301	0.07491985	222	370.6971882
20	0.26398286	37	37.81306283	0.181456	63	79.33390731	0.14092186	96	129.4946766	0.115988	129	186.6013409	0.10006905	164	248.0340405	0.08805259	205	315.4089816
10	0.27793542	33	35.9148196	0.19646145	60	73.27449474	0.15659067	92	116.5371519	0.13230295	115	163.59058	0.11601496	151	213.9425019	0.1045203	186	265.7146768
5	0.30558684	30	32.66502075	0.22704436	57	63.4044091	0.1866568	78	97.76568918	0.1626541	106	133.0646834	0.14722452	130	168.5896534	0.13556547	153	204.8646882
2	0.383616	25	26.02081371	0.30630365	43	46.99785159	0.26698828	59	68.34993166	0.24072863	77	89.90835998	0.22199565	90	111.8063836	0.20851645	105	133.1913033
1	0.4936817	19	20.21950676	0.41245964	32	34.90187182	0.36486933	44	50.01415354	0.33250675	58	65.09196076	0.31104401	68	79.79748846	0.29330638	81	94.68794282
0.5	0.63386458	12	15.74784392	0.55082762	23	26.13451643	0.49864694	33	36.59629535	0.45904717	40	47.148785	0.4330501	50	57.31561036	0.41049883	57	67.65568062
0.2	0.8127926	9	12.28111633	0.74866289	14	19.22843202	0.70252693	18	25.97570273	0.66131157	25	32.72816824	0.6315828	30	39.29893404	0.609308	35	45.5805237
0.1	0.89928001	4	11.0999915	0.85677671	9	16.80205976	0.82582587	12	22.09743162	0.79624778	16	27.18188592	0.77547079	18	32.007048	0.75945079	23	36.56929205
0.01	0.99107087	2	10.07193408	0.98518074	2	14.61215481	0.98028028	4	18.61572763	0.97787976	4	22.13310594	0.97442067	6	25.47208979	0.96973395	6	28.6393786


